"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"ARID5B",1.11070189320515e-137,11.1373546661427,1,0,1.99670879341489e-133,132.699685269448,"Up"
"ARID5A",0.012538529844912,2.70429090102063,0.081,0.014,1,0,"NS"
"MKI67",0.031515984943424,1.44891006773027,0.108,0.041,1,0,"NS"
"IL6",0.526041898438643,1.74611107671526,0.014,0.005,1,0,"NS"
"TGM2",0.583824552198462,1.51164582307824,0.027,0.013,1,0,"NS"
"KRT13",0.821475471840499,3.24861141724444,0,0.001,1,0,"NS"
"AXL",0.900492568454927,3.8335739179656,0,0,1,0,"NS"
