"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"ARID5B",2.04924664836138e-97,10.4148248221883,1,0,2.63492134046306e-93,92.5792323451242,"Up"
"MKI67",0.0973675990865381,1.9445048874083,0.094,0.028,1,0,"NS"
"AXL",0.0993437912649719,-0.818794854571373,0,0.03,1,0,"NS"
"IL6",0.637667774007949,-0.582354658749292,0.019,0.039,1,0,"NS"
"TGM2",0.700014553521356,1.24991789551264,0.057,0.031,1,0,"NS"
"ARID5A",0.79035957159508,0.556843827060758,0.113,0.087,1,0,"NS"
