"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"ARID5A",0,11.7167730744205,1,0,0,Inf,"Up"
"ARID5B",0.0247702791103274,0.768391802349834,0.208,0.122,1,0,"NS"
"TGM2",1,3.85258692976626,0,0,1,0,"NS"
