"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"ARID5A",2.29400646920562e-175,10.2956628379457,1,0,2.94963351810459e-171,170.530231940277,"Up"
"MKI67",0.208776474896172,-1.02739192239592,0.008,0.033,1,0,"NS"
"IL6",0.324172714882604,-1.22003700033832,0.017,0.04,1,0,"NS"
"TGM2",0.557378733800033,0.924352908996857,0.05,0.03,1,0,"NS"
"AXL",0.599858892732184,-0.40766400351409,0.017,0.03,1,0,"NS"
"ARID5B",0.775531825433623,0.528424232665718,0.05,0.038,1,0,"NS"
