"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"MKI67",8.17324049429134e-78,12.9471346465527,1,0,1.24462106247069e-73,72.9049628538116,"Up"
"ARID5A",0.93108346549176,0.474613028474948,0.179,0.151,1,0,"NS"
"AXL",0.994485677397375,5.67101024127845,0,0.001,1,0,"NS"
"IL6",0.994618467192207,4.53350671752852,0,0.001,1,0,"NS"
