"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"ARID5B",0,11.7205192471274,1,0,0,Inf,"Up"
"JCHAIN",1.99017434615413e-06,1.82107346368001,0.134,0.04,0.0243577438225805,1.61336294144072,"Up"
