"cluster","celltype"
"11","HU_FETAL_RETINA_MICROGLIA"
"11","MANNO_MIDBRAIN_NEUROTYPES_HMGL"
"12","AIZARANI_LIVER_C10_MVECS_1"
"12","AIZARANI_LIVER_C29_MVECS_2"
"12","DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PERICYTES"
"12","MURARO_PANCREAS_ENDOTHELIAL_CELL"
"12","FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_ENDOTHELIAL"
"12","MANNO_MIDBRAIN_NEUROTYPES_HENDO"
"12","MENON_FETAL_KIDNEY_9_ENDOTHELIAL_CELLS"
"12","FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_1"
"12","AIZARANI_LIVER_C13_LSECS_2"
"12","AIZARANI_LIVER_C32_MVECS_3"
"13","HAY_BONE_MARROW_PLASMA_CELL"
"13","AIZARANI_LIVER_C8_RESIDENT_B_CELLS_1"
"13","BLOOD DENDRITIC CELLS"
"13","AIZARANI_LIVER_C22_RESIDENT_B_CELLS_2"
"13","DENDRITIC CELL"
"13","AIZARANI_LIVER_C38_RESIDENT_B_CELLS_3"
"13","DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PLASMA_CELLS"
"13","CORD BLOOD"
"13","PLASMA CELL"
"13","CD34+ CELL"
"14","MURARO_PANCREAS_ALPHA_CELL"
"14","PANCREATIC ISLET"
"14","AIZARANI_LIVER_C24_EPCAM_POS_BILE_DUCT_CELLS_3"
"14","LAKE_ADULT_KIDNEY_C18_COLLECTING_DUCT_PRINCIPAL_CELLS_MEDULLA"
"14","LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA"
"14","LAKE_ADULT_KIDNEY_C8_DECENDING_THIN_LIMB"
"14","AIZARANI_LIVER_C7_EPCAM_POS_BILE_DUCT_CELLS_2"
"14","MENON_FETAL_KIDNEY_8_CONNECTING_TUBULE_CELLS"
"14","AIZARANI_LIVER_C4_EPCAM_POS_BILE_DUCT_CELLS_1"
"14","LAKE_ADULT_KIDNEY_C12_THICK_ASCENDING_LIMB"
"15","AIZARANI_LIVER_C8_RESIDENT_B_CELLS_1"
"15","AIZARANI_LIVER_C22_RESIDENT_B_CELLS_2"
"15","HAY_BONE_MARROW_PLASMA_CELL"
"15","B cell"
"15","AIZARANI_LIVER_C38_RESIDENT_B_CELLS_3"
"15","DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_PLASMA_CELLS"
"15","FAN_EMBRYONIC_CTX_BIG_GROUPS_MICROGLIA"
"15","Plasmacytoid dendritic cell"
"15","ZHONG_PFC_MAJOR_TYPES_MICROGLIA"
"15","Microglial cell"
