"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","test","log10_padj","category"
"ARID5B",0.269465715769688,1.17864221854342,0.006,0,1,"MAST",0,"NS"
"ARID5A",0.98955122317958,0.593679717822265,0.021,0.012,1,"MAST",0,"NS"
